,blues,greens,reds,nirs,swir1s,swir2s,thermals,qa,dates
0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1982-12-01
1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1982-12-08
2,568,650,503,1895,758,327,665,66,1982-12-31
3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1983-01-09
4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1983-01-18
5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1983-02-01
6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1983-02-03
7,458,609,541,3104,1382,547,2935,66,1983-08-12
8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1984-04-25
9,447,631,510,3881,1603,550,1835,66,1984-05-02
10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1984-05-11
11,302,487,387,3231,1315,557,2285,66,1984-05-18
12,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1984-05-20
13,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1984-05-27
14,430,641,553,3145,1318,549,2495,66,1984-06-03
15,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1984-06-05
16,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1984-06-12
17,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1984-06-19
18,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1984-06-21
19,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1984-06-28
20,442,683,561,3347,1415,535,2705,66,1984-07-05
21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1984-07-07
22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1984-07-14
23,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1984-08-06
24,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1984-08-08
25,264,447,397,2622,1292,642,2955,66,1984-09-07
26,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1984-09-16
27,328,459,433,2446,1266,551,2415,66,1984-09-23
28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1984-10-02
29,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1984-10-18
30,227,315,249,1917,878,325,2415,66,1984-10-25
31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1984-10-27
32,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1984-11-19
33,6868,7654,7876,8699,7228,5319,445,224,1984-12-12
34,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1985-01-22
35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1985-01-31
36,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1985-03-20
37,334,537,376,2854,1071,435,2195,66,1985-04-03
38,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1985-04-05
39,324,518,432,2786,1178,513,1375,66,1985-04-19
40,335,528,421,3025,1363,558,2495,66,1985-05-05
41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1985-05-14
42,293,512,410,3215,1378,521,2545,66,1985-05-21
43,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1985-06-06
44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1985-06-08
45,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1985-06-15
46,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1985-06-22
47,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1985-07-01
48,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1985-07-17
49,403,559,478,2855,1431,611,2875,66,1985-07-24
50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1985-07-26
51,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1985-08-02
52,20000,5514,5585,5998,3261,2622,-4645,224,1985-08-09
